Time; Magnitude; Temperature; Reference Altitude; Current Altitude; Pressure; Ejected?
27; 1.01; 26.4; 0.00; 0.00; 1019.00; No
27; 0.97; 26.4; 0.00; -0.18; 1019.04; No
27; 1.00; 26.4; 0.00; -0.06; 1019.01; No
27; 1.00; 26.4; 0.00; -0.17; 1019.04; No
27; 0.98; 26.4; 0.00; 0.01; 1019.00; No
27; 0.99; 26.4; 0.00; 0.08; 1018.98; No
27; 0.97; 26.4; 0.00; -0.03; 1019.00; No
28; 0.98; 26.4; 0.00; -0.08; 1019.01; No
28; 0.98; 26.4; 0.00; -0.07; 1019.01; No
28; 0.97; 26.4; 0.00; -0.07; 1019.01; No
28; 0.97; 26.4; 0.00; -0.07; 1019.01; No
28; 0.99; 26.4; 0.00; -0.11; 1019.01; No
28; 1.03; 26.4; 0.00; -0.08; 1019.02; No
28; 1.04; 26.4; 0.00; -0.15; 1019.03; No
28; 0.96; 26.4; 0.00; 0.31; 1018.92; No
28; 0.96; 26.4; 0.00; -0.08; 1019.02; No
28; 1.01; 26.4; 0.00; -0.11; 1019.02; No
29; 0.97; 26.4; 0.00; -0.15; 1019.03; No
29; 1.03; 26.4; 0.00; 0.65; 1018.84; No
29; 0.94; 26.4; 0.00; -0.14; 1019.03; No
29; 0.96; 26.4; 0.00; -0.10; 1019.02; No
29; 1.04; 26.4; 0.00; -0.12; 1019.03; No
29; 1.11; 26.4; 0.00; 0.01; 1018.99; No
29; 1.10; 26.4; 0.00; -0.23; 1019.05; No
29; 1.13; 26.4; 0.00; -0.11; 1019.02; No
29; 0.90; 26.4; 0.00; -0.17; 1019.04; No
29; 0.86; 26.4; 0.00; -0.08; 1019.02; No
30; 0.88; 26.4; 0.00; 0.04; 1018.99; No
30; 0.96; 26.4; 0.00; 0.02; 1019.02; No
30; 1.06; 26.4; 0.00; -0.01; 1019.00; No
30; 1.25; 26.4; 0.00; -0.04; 1019.01; No
30; 0.85; 26.4; 0.00; -0.00; 1019.00; No
30; 0.81; 26.4; 0.00; -0.06; 1018.98; No
30; 0.84; 26.4; 0.00; -0.08; 1019.02; No
30; 0.96; 26.4; 0.00; 0.00; 1019.00; No
30; 1.14; 26.4; 0.00; 0.01; 1018.99; No
30; 1.05; 26.4; 0.00; -0.07; 1019.01; No
31; 1.29; 26.4; 0.00; -0.05; 1019.01; No
31; 0.90; 26.4; 0.00; -0.05; 1019.01; No
31; 1.05; 26.4; 0.00; 0.37; 1018.91; No
31; 1.25; 26.4; 0.00; -0.09; 1019.02; No
31; 1.06; 26.4; 0.00; -0.01; 1019.00; No
31; 0.96; 26.4; 0.00; -0.01; 1019.00; No
31; 0.97; 26.4; 0.00; -0.05; 1019.01; No
31; 0.94; 26.4; 0.00; -0.04; 1019.01; No
31; 0.92; 26.4; 0.00; -0.05; 1019.01; No
31; 0.98; 26.4; 0.00; -0.12; 1019.03; No
31; 1.04; 26.4; 0.00; -0.05; 1019.01; No
32; 1.13; 26.4; 0.00; -0.04; 1019.01; No
32; 1.04; 26.4; 0.00; 0.05; 1018.99; No
32; 0.87; 26.4; 0.00; -0.07; 1019.01; No
32; 0.92; 26.4; 0.00; -0.12; 1019.03; No
32; 1.12; 26.4; 0.00; 0.03; 1018.99; No
32; 1.00; 26.4; 0.00; -0.07; 1019.01; No
32; 0.95; 26.4; 0.00; -0.01; 1019.00; No
32; 1.01; 26.4; 0.00; -0.06; 1019.01; No
32; 0.89; 26.4; 0.00; 0.68; 1018.83; No
32; 1.00; 26.4; 0.00; -0.00; 1019.00; No
33; 0.91; 26.4; 0.00; 0.05; 1018.98; No
33; 1.03; 26.4; 0.00; 0.05; 1018.98; No
33; 0.92; 26.4; 0.00; 0.56; 1018.86; No
33; 1.24; 26.4; 0.00; 0.13; 1018.97; No
33; 1.00; 26.4; 0.00; 0.03; 1018.99; No
33; 0.96; 26.4; 0.00; 0.01; 1018.99; No
33; 1.01; 26.4; 0.00; -0.03; 1019.01; No
33; 0.99; 26.4; 0.00; -0.01; 1019.00; No
33; 1.01; 26.4; 0.00; -0.11; 1019.00; No
